time:0.702527999878,checkpoint:0,restore:0.000317096710205
time:0.695055961609,checkpoint:0,restore:0.000339031219482
time:0.674606800079,checkpoint:0,restore:0.000310182571411
time:0.722337961197,checkpoint:0,restore:0.000301837921143
time:0.71632194519,checkpoint:0,restore:0.000432968139648
time:0.616734027863,checkpoint:0,restore:0.000293970108032
time:0.612352848053,checkpoint:0,restore:0.000255107879639
time:0.683902978897,checkpoint:0,restore:0.000344038009644
time:0.679128170013,checkpoint:0,restore:0.000296115875244
time:0.688848972321,checkpoint:0,restore:0.000296115875244
time:0.679531097412,checkpoint:0,restore:0.000344038009644
time:0.682027101517,checkpoint:0,restore:0.000302076339722
time:0.691876888275,checkpoint:0,restore:0.000337839126587
time:0.762375831604,checkpoint:0,restore:0.00032901763916
time:0.654418230057,checkpoint:0,restore:0.000245094299316
time:0.708220005035,checkpoint:0,restore:0.000282049179077
time:0.688363075256,checkpoint:0,restore:0.000346183776855
time:0.684074878693,checkpoint:0,restore:0.000294208526611
time:0.678469896317,checkpoint:0,restore:0.000277996063232
time:0.698534011841,checkpoint:0,restore:0.000289916992188
time:0.623784065247,checkpoint:0,restore:0.000250101089478
time:0.6058781147,checkpoint:0,restore:0.000293970108032
time:0.678281068802,checkpoint:0,restore:0.000220060348511
time:0.677332162857,checkpoint:0,restore:0.000331878662109
time:0.66762304306,checkpoint:0,restore:0.000325918197632
time:0.698316812515,checkpoint:0,restore:0.000307083129883
time:0.702570915222,checkpoint:0,restore:0.000351905822754
time:0.667867183685,checkpoint:0,restore:0.000320196151733
time:0.677585840225,checkpoint:0,restore:0.000334024429321
time:0.19723200798,checkpoint:0,restore:0.000295162200928
time:0.699481964111,checkpoint:0,restore:0.000263214111328
time:0.689321041107,checkpoint:0,restore:0.000319957733154
time:0.687409877777,checkpoint:0,restore:0.000351190567017
time:0.696856975555,checkpoint:0,restore:0.000335216522217
time:0.675675868988,checkpoint:0,restore:0.000381946563721
time:0.682922124863,checkpoint:0,restore:0.000369071960449
time:0.618067979813,checkpoint:0,restore:0.000385999679565
time:0.682585000992,checkpoint:0,restore:0.000325918197632
time:0.703660011292,checkpoint:0,restore:0.000404119491577
time:0.679464817047,checkpoint:0,restore:0.000375986099243
time:0.698517084122,checkpoint:0,restore:0.000363826751709
time:0.711053133011,checkpoint:0,restore:0.000352144241333
time:0.682485818863,checkpoint:0,restore:0.000278949737549
time:0.685945987701,checkpoint:0,restore:0.000323057174683
time:0.715667009354,checkpoint:0,restore:0.000273942947388
time:0.699339151382,checkpoint:0,restore:0.000368118286133
time:0.686242818832,checkpoint:0,restore:0.000308036804199
time:0.689132928848,checkpoint:0,restore:0.00034499168396
time:0.678325176239,checkpoint:0,restore:0.000334024429321
time:0.685365915298,checkpoint:0,restore:0.000308036804199
time:0.721401929855,checkpoint:0,restore:0.00021505355835
time:0.638504981995,checkpoint:0,restore:0.000530958175659
time:0.636425971985,checkpoint:0,restore:0.000277996063232
time:0.610685110092,checkpoint:0,restore:0.000317811965942
time:0.730278015137,checkpoint:0,restore:0.000328063964844
time:0.687043905258,checkpoint:0,restore:0.000298976898193
time:0.691710948944,checkpoint:0,restore:0.000307083129883
time:0.73847413063,checkpoint:0,restore:0.00039005279541
time:0.701755046844,checkpoint:0,restore:0.000324964523315
time:0.685407876968,checkpoint:0,restore:0.000326156616211
time:0.714925050735,checkpoint:0,restore:0.000364065170288
time:0.676951169968,checkpoint:0,restore:0.000319004058838
time:0.664299964905,checkpoint:0,restore:0.000329971313477
time:0.70187997818,checkpoint:0,restore:0.000321865081787
time:0.688495159149,checkpoint:0,restore:0.000383138656616
time:0.705812931061,checkpoint:0,restore:0.000355958938599
time:0.684282064438,checkpoint:0,restore:0.044380903244
time:0.669318914413,checkpoint:0,restore:0.000270128250122
time:0.712252855301,checkpoint:0,restore:0.00030517578125
time:0.207566022873,checkpoint:0,restore:0.00028395652771
time:0.689138889313,checkpoint:0,restore:0.000298976898193
time:0.690346002579,checkpoint:0,restore:0.000355005264282
time:0.692249059677,checkpoint:0,restore:0.000414848327637
time:0.692494869232,checkpoint:0,restore:0.000355005264282
time:0.698411941528,checkpoint:0,restore:0.000328063964844
time:0.685953140259,checkpoint:0,restore:0.000365018844604
time:0.699946880341,checkpoint:0,restore:0.000366926193237
time:0.674268960953,checkpoint:0,restore:0.000337839126587
time:0.685793876648,checkpoint:0,restore:0.000279903411865
time:0.653231859207,checkpoint:0,restore:0.000306844711304
time:0.679491043091,checkpoint:0,restore:0.000371932983398
time:0.695322036743,checkpoint:0,restore:0.00028395652771
time:0.619051933289,checkpoint:0,restore:0.00032114982605
time:0.632958889008,checkpoint:0,restore:0.000247001647949
time:0.623460769653,checkpoint:0,restore:0.000312089920044
time:0.677018880844,checkpoint:0,restore:0.000281095504761
time:0.679142951965,checkpoint:0,restore:0.000350952148438
time:0.693279027939,checkpoint:0,restore:0.000308036804199
time:0.684565067291,checkpoint:0,restore:0.000370025634766
time:0.665251016617,checkpoint:0,restore:0.000335216522217
time:0.659913063049,checkpoint:0,restore:0.000321865081787
time:0.710249900818,checkpoint:0,restore:0.000328063964844
time:0.687299966812,checkpoint:0,restore:0.000370025634766
time:0.682873010635,checkpoint:0,restore:0.000317096710205
time:0.687828063965,checkpoint:0,restore:0.000327110290527
time:0.66721200943,checkpoint:0,restore:0.000288009643555
time:0.670038938522,checkpoint:0,restore:0.000337839126587
time:0.741276979446,checkpoint:0,restore:0.000298023223877
time:0.669804811478,checkpoint:0,restore:0.00071382522583
time:0.683720827103,checkpoint:0,restore:0.000308036804199
time:0.680898189545,checkpoint:0,restore:0.000311136245728
time:0.650969982147,checkpoint:0,restore:0.000286817550659
time:0.662939071655,checkpoint:0,restore:0.00030779838562
time:0.675866127014,checkpoint:0,restore:0.000309944152832
time:0.666753053665,checkpoint:0,restore:0.00031590461731
time:0.689164161682,checkpoint:0,restore:0.00029993057251
time:0.665559053421,checkpoint:0,restore:0.000302076339722
time:0.705067873001,checkpoint:0,restore:0.000369071960449
time:0.659145832062,checkpoint:0,restore:0.000292062759399
time:0.697932958603,checkpoint:0,restore:0.000286102294922
time:0.715318918228,checkpoint:0,restore:0.000319004058838
time:0.680979967117,checkpoint:0,restore:0.00034499168396
time:0.729067087173,checkpoint:0,restore:0.00029993057251
time:0.688328027725,checkpoint:0,restore:0.000405073165894
time:0.705356836319,checkpoint:0,restore:0.000297069549561
time:0.694221019745,checkpoint:0,restore:0.000432014465332
time:0.708550930023,checkpoint:0,restore:0.000380039215088
time:0.729058027267,checkpoint:0,restore:0.000307083129883
time:0.698726892471,checkpoint:0,restore:0.000574111938477
time:0.752760887146,checkpoint:0,restore:0.000502109527588
time:0.674124956131,checkpoint:0,restore:0.000302076339722
time:0.682410001755,checkpoint:0,restore:0.000293970108032
time:0.682777881622,checkpoint:0,restore:0.000493049621582
time:0.709991931915,checkpoint:0,restore:0.000394105911255
time:0.720246076584,checkpoint:0,restore:0.000324964523315
time:0.681946992874,checkpoint:0,restore:0.000351905822754
time:0.637943983078,checkpoint:0,restore:0.000353813171387
time:0.703780889511,checkpoint:0,restore:0.000257015228271
time:0.70786690712,checkpoint:0,restore:0.000314950942993
time:0.67378783226,checkpoint:0,restore:0.000332117080688
time:0.685818910599,checkpoint:0,restore:0.000322103500366
time:0.671713829041,checkpoint:0,restore:0.000316143035889
time:0.643791913986,checkpoint:0,restore:0.000339031219482
time:0.685894966125,checkpoint:0,restore:0.000281810760498
time:0.66956114769,checkpoint:0,restore:0.000404119491577
time:0.663563966751,checkpoint:0,restore:0.000349998474121
time:0.642237901688,checkpoint:0,restore:0.000313997268677
time:0.647271871567,checkpoint:0,restore:0.000288963317871
time:0.665202140808,checkpoint:0,restore:0.000291109085083
time:0.705109834671,checkpoint:0,restore:0.000314950942993
time:0.682076931,checkpoint:0,restore:0.000630140304565
time:0.693182945251,checkpoint:0,restore:0.000371932983398
time:0.702936887741,checkpoint:0,restore:0.000275135040283
time:0.703372001648,checkpoint:0,restore:0.000392198562622
time:0.66103887558,checkpoint:0,restore:0.000375032424927
time:0.710161924362,checkpoint:0,restore:0.000543117523193
time:0.619167089462,checkpoint:0,restore:0.000314950942993
time:0.655825138092,checkpoint:0,restore:0.000324964523315
time:0.703030824661,checkpoint:0,restore:0.000349998474121
time:0.689555168152,checkpoint:0,restore:0.000410079956055
time:0.680986166,checkpoint:0,restore:0.000455141067505
time:0.671813011169,checkpoint:0,restore:0.000332117080688
time:0.715022802353,checkpoint:0,restore:0.000332117080688
time:0.694284200668,checkpoint:0,restore:0.000612020492554
time:0.718973875046,checkpoint:0,restore:0.000295162200928
time:0.726759910583,checkpoint:0,restore:0.000777959823608
time:0.620904922485,checkpoint:0,restore:0.000387907028198
time:0.666761875153,checkpoint:0,restore:0.000288009643555
time:0.671360015869,checkpoint:0,restore:0.000353097915649
time:0.687417984009,checkpoint:0,restore:0.000304937362671
time:0.682881832123,checkpoint:0,restore:0.000340223312378
time:0.667392015457,checkpoint:0,restore:0.000328063964844
time:0.717562913895,checkpoint:0,restore:0.000308990478516
time:0.701951026917,checkpoint:0,restore:0.00031304359436
time:0.662724971771,checkpoint:0,restore:0.000362873077393
time:0.684914112091,checkpoint:0,restore:0.000349044799805
time:0.671493053436,checkpoint:0,restore:0.000358819961548
time:0.691937923431,checkpoint:0,restore:0.000351905822754
time:0.713310003281,checkpoint:0,restore:0.000338077545166
time:0.730045080185,checkpoint:0,restore:0.00031304359436
time:0.699575901031,checkpoint:0,restore:0.000304937362671
time:0.640971899033,checkpoint:0,restore:0.000316858291626
time:0.69083404541,checkpoint:0,restore:0.000231027603149
time:0.719163179398,checkpoint:0,restore:0.000303030014038
time:0.69006896019,checkpoint:0,restore:0.000359058380127
time:0.676984071732,checkpoint:0,restore:0.000407934188843
time:0.670917987823,checkpoint:0,restore:0.00036096572876
time:0.687652111053,checkpoint:0,restore:0.000339984893799
time:0.68830704689,checkpoint:0,restore:0.000386953353882
time:0.712535858154,checkpoint:0,restore:0.000313997268677
time:0.692417144775,checkpoint:0,restore:0.000343084335327
time:0.688227176666,checkpoint:0,restore:0.000339031219482
time:0.720329999924,checkpoint:0,restore:0.000343084335327
time:0.687265872955,checkpoint:0,restore:0.000349998474121
time:0.700304985046,checkpoint:0,restore:0.000377893447876
time:0.707104921341,checkpoint:0,restore:0.000244140625
time:0.641804933548,checkpoint:0,restore:0.000312805175781
time:0.679173946381,checkpoint:0,restore:0.000249147415161
time:0.700387001038,checkpoint:0,restore:0.000332832336426
time:0.714439153671,checkpoint:0,restore:0.000393152236938
time:0.715163946152,checkpoint:0,restore:0.000425815582275
time:0.711240053177,checkpoint:0,restore:0.000397920608521
time:0.69602894783,checkpoint:0,restore:0.000455856323242
time:0.71160197258,checkpoint:0,restore:0.000401020050049
time:0.684926986694,checkpoint:0,restore:0.00031590461731
time:0.695917844772,checkpoint:0,restore:0.000324010848999
time:0.68972992897,checkpoint:0,restore:0.000319957733154
time:0.709301948547,checkpoint:0,restore:0.000303983688354
time:0.706815004349,checkpoint:0,restore:0.000339984893799
time:0.694802045822,checkpoint:0,restore:0.000334024429321
time:0.702282905579,checkpoint:0,restore:0.000275850296021
time:0.622282981873,checkpoint:0,restore:0.000301122665405
time:0.695215940475,checkpoint:0,restore:0.000252962112427
time:0.721465826035,checkpoint:0,restore:0.000339031219482
time:0.708387136459,checkpoint:0,restore:0.000319004058838
time:0.695775985718,checkpoint:0,restore:0.000336170196533
time:0.69482421875,checkpoint:0,restore:0.000308036804199
time:0.686761856079,checkpoint:0,restore:0.000347137451172
time:0.708986997604,checkpoint:0,restore:0.000381946563721
time:0.704219102859,checkpoint:0,restore:0.000350952148438
time:0.694457054138,checkpoint:0,restore:0.000355005264282
time:0.671694993973,checkpoint:0,restore:0.000419855117798
time:0.697228908539,checkpoint:0,restore:0.000349044799805
time:0.677631139755,checkpoint:0,restore:0.000333070755005
time:0.700156927109,checkpoint:0,restore:0.000366926193237
time:0.694937944412,checkpoint:0,restore:0.000297069549561
time:0.620617866516,checkpoint:0,restore:0.000317096710205
time:0.70525097847,checkpoint:0,restore:0.000249862670898
time:0.675375938416,checkpoint:0,restore:0.000360012054443
time:0.69046998024,checkpoint:0,restore:0.000326871871948
time:0.67987704277,checkpoint:0,restore:0.000329971313477
time:0.695318937302,checkpoint:0,restore:0.000295162200928
time:0.67728304863,checkpoint:0,restore:0.000327110290527
time:0.700152873993,checkpoint:0,restore:0.000221014022827
time:0.704105138779,checkpoint:0,restore:0.000363826751709
time:0.687175989151,checkpoint:0,restore:0.000339984893799
time:0.690535068512,checkpoint:0,restore:0.000478029251099
time:0.682882070541,checkpoint:0,restore:0.000355958938599
time:0.718310117722,checkpoint:0,restore:0.000335931777954
time:0.625890016556,checkpoint:0,restore:0.000358104705811
time:0.652739048004,checkpoint:0,restore:0.000247955322266
time:0.672503948212,checkpoint:0,restore:0.000303983688354
time:0.667902946472,checkpoint:0,restore:0.000295877456665
time:0.690412998199,checkpoint:0,restore:0.000257968902588
time:0.68827009201,checkpoint:0,restore:0.000271081924438
time:0.708391904831,checkpoint:0,restore:0.000356912612915
time:0.69961309433,checkpoint:0,restore:0.000317096710205
time:0.676028966904,checkpoint:0,restore:0.000333070755005
time:0.705471038818,checkpoint:0,restore:0.00033712387085
time:0.684638977051,checkpoint:0,restore:0.000319004058838
time:0.683472156525,checkpoint:0,restore:0.000297069549561
time:0.68332195282,checkpoint:0,restore:0.000350952148438
time:0.723207950592,checkpoint:0,restore:0.000298023223877
time:0.698729038239,checkpoint:0,restore:0.000416040420532
time:0.692247867584,checkpoint:0,restore:0.000319957733154
time:0.697428941727,checkpoint:0,restore:0.000267028808594
time:0.703548908234,checkpoint:0,restore:0.000311851501465
time:0.694289922714,checkpoint:0,restore:0.000274896621704
time:0.708032131195,checkpoint:0,restore:0.00034499168396
time:0.680488824844,checkpoint:0,restore:0.00032901763916
time:0.67171216011,checkpoint:0,restore:0.000379085540771
time:0.677324056625,checkpoint:0,restore:0.000355958938599
time:0.686388015747,checkpoint:0,restore:0.000259876251221
time:0.683490991592,checkpoint:0,restore:0.000292778015137
time:0.68919801712,checkpoint:0,restore:0.000348091125488
time:0.663227081299,checkpoint:0,restore:0.000272989273071
time:0.715297937393,checkpoint:0,restore:0.00031304359436
time:0.701938867569,checkpoint:0,restore:0.000297069549561
time:0.685044050217,checkpoint:0,restore:0.00036096572876
time:0.716164112091,checkpoint:0,restore:0.000319957733154
